"Feature","Gain","Cover","Frequency"
"Store_id.357",0.000290643181035665,0.00533824026545768,0.00140261007439932
"Store_id.259",0.000288745852120973,0.00709675970248459,0.000853762653982193
"Store_id.284",0.000284149520337599,0.00753359747453903,0.000914745700695207
"Store_id.139",0.00027658363978934,0.00106942816712789,0.000731796560556165
"Store_id.278",0.000269709705025782,0.00465338494791343,0.000670813513843152
"Store_id.57",0.000261796822168714,0.00499415095181734,0.000975728747408221
"Store_id.324",0.000261081441273502,0.00258168159500319,0.000670813513843152
"Store_id.123",0.000253928293181327,0.0066252599481583,0.000731796560556165
"Store_id.150",0.000252574394486554,0.00543498038300043,0.000670813513843152
"Store_id.202",0.000240753541736471,0.00558939213913165,0.000792779607269179
"Store_id.238",0.000238715297146416,0.00662800709462559,0.000731796560556165
"Store_id.41",0.000237662877677016,0.00660135147714181,0.000792779607269179
"Store_id.49",0.000231895298721804,0.00614473056307796,0.000731796560556165
"Store_id.14",0.000203383716254598,0.00303205228992335,0.000731796560556165
"Store_id.241",0.000202515587749161,0.00554642879647794,0.000731796560556165
"Store_id.192",0.000201834622406697,0.00606548737169265,0.000670813513843152
"Store_id.58",0.000191724126041011,0.00613028960690007,0.000914745700695207
"Store_id.330",0.000190530409630893,0.00542745799535846,0.000670813513843152
"Store_id.143",0.000180912114130204,0.00149834254190503,0.00048786437370411
"Store_id.83",0.000180149596128217,0.000329487031747099,0.000731796560556165
"Store_id.147",0.000168799822142441,0.00144156510871028,0.000365898280278083
"Store_id.5",0.000165063485203589,0.00551784187971598,0.000609830467130138
"Store_id.308",0.000160655142658126,0.00488510859615178,0.000548847420417124
"Store_id.52",0.000150112888695121,0.0035796102050831,0.00048786437370411
"Store_id.11",0.000148835192236051,0.00385568459712726,0.000548847420417124
"Store_id.352",0.000143791178672347,0.00278591995065019,0.000548847420417124
"Store_id.195",0.000140546534244685,0.00496183971568362,0.000548847420417124
"Store_id.201",0.000131350591795881,0.00491248326539546,0.000548847420417124
"Store_id.40",0.000128654855100411,0.00409598616411666,0.00048786437370411
"Store_id.217",0.000121903611528225,0.00379996269504158,0.000426881326991096
"Store_id.219",0.000121224450841777,0.00423660226693144,0.000609830467130138
"Store_id.151",0.000106110704533304,0.00233180188982751,0.000426881326991096
"Store_id.158",0.000101983081314611,0.00065596879588233,0.000731796560556165
"Store_id.349",9.8033636105349e-05,0.0020820420266118,0.000365898280278083
"Store_id.199",9.65861177025536e-05,0.0038580629991023,0.000426881326991096
"Region_Code.R3",9.56017223269821e-05,0.000135873126783165,0.000182949140139041
"Store_id.102",9.21614252277655e-05,0.00331061570729022,0.000365898280278083
"Store_id.51",8.98703318084215e-05,0.0027590384771649,0.000304915233565069
"Store_id.282",8.73498373791462e-05,0.00332317145725145,0.000426881326991096
"Store_id.197",8.66829597915653e-05,7.71736129225364e-05,0.00048786437370411
"Store_id.183",8.65481380074676e-05,0.00249165723652562,0.000426881326991096
"Store_id.80",8.56917969559352e-05,0.00330673006220309,0.000365898280278083
"Store_id.61",8.34765245069383e-05,0.00236576786687022,0.000304915233565069
"Store_id.111",8.26501000769609e-05,0.00323840170778849,0.000365898280278083
"Store_id.78",8.19550024986566e-05,0.0033144460407035,0.000426881326991096
"Store_id.109",7.8925004111671e-05,0.00323462207674289,0.000365898280278083
"Store_id.44",7.49527147531971e-05,0.00195582078691338,0.000426881326991096
